compound,SMILES
307316558,CC1=CC(=CC(=[N+]1CCC[N+]2(CCOCC2)C)C)SCC3=C(N4[C@@H]([C@@H](C4=O)NC(=O)CSC5=C(C=C(C(=C5)Cl)/C=C/C(=O)NCC(=O)[O-])Cl)SC3)C(=O)[O-]
307334583,CCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=C3C=CC(=C4)O)C.C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(CC#N)O
307519911,CCCCCCCC(=O)NCCN(CCC(=O)[O-])CCOCCC(=O)[O-].[Na+].[Na+]
307519977,C1=CC=C(C=C1)C2C(N(C=N2)CCO)C3=CC=CC=C3
307525402,CC1=CC=CC=C1N2C(=O)/C(=C/C=C/C3=CC=CC=C3)/SC2=S
307556598,CC(COC1=C(C=CC=C1OC)OC)N(C)CCC2=CC=C(C=C2)NS(=O)(=O)C.Cl
307974614,CC[C@@H]1[C@@H]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)C
307976927,CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3[C@@H](C=C2C1)OC(=O)C5=CC=CC=C5)CCC4=O)C)C
308064995,CCC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CCCC(=O)O.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O
308065681,CCCCCCC1C=CC(C(C1CCCCCC)C=CCCCCCCCC(=O)OC(C)C)CCCCCCCC(=O)OC(C)C
308123606,COCC[C@H]1C[C@@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC
308145177,CCOC1=CC2=C(C=C1)N(C(=O)C23CCC(CC3)OCCN4CCOCC4)S(=O)(=O)C5=C(C=C(C=C5)C(=O)NC(C)(C)C)OC.OP(=O)(O)O
308145199,CCNCCCNC/C=C\CNCCCNCC
308239863,CN1CC2=C(N=CN2C3=C(C1=O)C(=CC=C3)Cl)C4=NOC(=N4)CN(C)C
308246528,COC1=C(C=C2C(=C1)C3=C(C4=CC5=C(C=C4C3=O)OCO5)N(C2=O)CCCNCCO)OC
308246573,COC1=C(C=C2C(=C1)C3=C(C4=CC5=C(C=C4C3=O)OCO5)N(C2=O)CCCNCCO)OC.Cl
308359571,CC1=C(C(=C2[C@@H]3[C@@H]4CC5=C([C@@H](N4[C@H]([C@@H](N3C)CC2=C1)O)CNC(=O)/C=C/C6=CC(=CC=C6)C(F)(F)F)C7=C(C(=C5OC(=O)C)C)OCO7)O)OC
308362256,C1=CC2=C(C=C1C3=CC4=C(C=C3)N=C(N4)C5=CC=NC=C5)NC(=N2)C6=CC=NC=C6
308805438,CC(C)(CC=O)S
308814417,C1CN(CCN(CCN(CCN1[C@@H](CCC(=O)NCC(=O)NC2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)C(=O)NCC(=O)NC4=C(C(=C(C(=C4Br)C(=O)N(C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)Br)C(=O)N(C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)Br)C(=O)O)[C@@H](CCC(=O)NCC(=O)NC5=CC=C(C=C5)C(=O)NC6=CC=C(C=C6)C(=O)NCC(=O)NC7=C(C(=C(C(=C7Br)C(=O)N(C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)Br)C(=O)N(C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)Br)C(=O)[O-])[C@@H](CCC(=O)NCC(=O)NC8=CC=C(C=C8)C(=O)NC9=CC=C(C=C9)C(=O)NCC(=O)NC1=C(C(=C(C(=C1Br)C(=O)N(C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)Br)C(=O)N(C[C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)Br)C(=O)[O-])[C@@H](CCC(=O)NCC(=O)NC1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)C(=O)NCC(=O)NC1=C(C(=C(C(=C1Br)C(=O)N(C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)Br)C(=O)N(C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)Br)C(=O)[O-].[Gd+3]
308831610,CN(CC1=CC=CC=C1)CC2=C(SC3=C2C(=O)N(C(=O)N3CC4=C(C=CC=C4F)F)C5=CC=CC=C5)C6=CC=C(C=C6)NC(=O)NOC
309711726,C1CCC2=C3C(=CC(=C2C1)C4=CC=C(C=C4)Cl)C(=C(N3)O)N=O
309762581,CC\1(CN(C/C1=N\OC)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F)CN.Cl
309913835,C[C@@H]1CN([C@H](CN1C(=O)C2=C(C=C3C(=C2)C(=CN3C)C(=O)C(=O)N(C)C)Cl)C)CC4=CC=C(C=C4)F
309915126,C[C@@H]1CN([C@H](CN1C(=O)C2=C(C=C3C(=C2)C(=CN3C)C(=O)C(=O)N(C)C)Cl)C)CC4=CC=C(C=C4)F.Cl
309935577,CC[C@H](C)[C@@H](C(=O)N(COC(=O)CC(C)C)[C@H](C[C@H](C1=NC(=CS1)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@H](C)C(=O)O)OC(=O)C)C(C)C)NC(=O)[C@H]3CCCCN3C
309935588,CCCC(=O)OCN([C@H](C[C@H](C1=NC(=CS1)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@H](C)C(=O)O)OC(=O)C)C(C)C)C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H]3CCCCN3C
309959340,C1CN(C[C@@H]1N)C2=CN=CC=C2
310392939,CC1=NN=C(O1)C2=CC3=C(O2)C=CC=C3OC[C@H](CN4CCC(CC4)C5=CC(=C(C=C5)Cl)Cl)O.Cl
310392940,CC1=NN=C(O1)C2=CC3=C(O2)C=CC=C3OC[C@H](CN4CCC(CC4)C5=CC(=C(C=C5)Cl)Cl)O
310897688,C[C@@]12CC[C@@H]3[C@@]([C@H]1C=CC4=C5CC(CC[C@@]5(CC[C@@]24C)C(=O)O)(C)C)(C(=O)C[C@@H](C3(C)C)O)C
310901065,C[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CC(=O)O)N
311343610,COC1=CC2=C(C=C1)NC=C2CCNCC3CCCO3
311768817,C1CC(C1)CN2CC[C@]34[C@@H]5[C@H](CC[C@]3([C@H]2CC6=C4C(=C(C=C6)OC(=O)CCCCCCCCC(=O)OC7=C8C9=C(C[C@@H]1[C@]2([C@]9(CCN1CC1CCC1)[C@@H](O8)[C@H](CC2)O)O)C=C7)O5)O)O
311769661,CC[C@@H](CC1=CC(=C(C=C1)OC)C(=O)NCC2=CC=C(C=C2)C(F)(F)F)C(=O)O
311770260,CC[C@@H](CC1=CC(=C(C=C1)OC)C(=O)NCC2=CC=C(C=C2)OC3=CC=C(C=C3)F)C(=O)O
312494205,COC1=CC=C(C=C1)C2=C(C(=NN2C3=CC=CC=C3Cl)C(=O)NC4=CC=CC=C4)C#N
312538628,CC[C@@H](C(=O)O)NCCN[C@@H](CC)C(=O)O
312606874,CC1=C(C=C(C=C1)C(=O)OC2=CC=CC3=C2N=CC=C3)S(=O)(=O)N4CCCCC4
