,subst_name,synonym,casrn,N,Nh,role,delta_d,delta_p,delta_h,mol_vol,src_id,src_ref,boil_pt,flash_pt,chem21_safety,chem21_health,chem21_env,chem21_rank,prop_src_id
20,"Acetic acid, butyl ester",Butyl ethanoate,123-86-4,8,20,solvent,15.8,3.7,6.3,132.5,1,A1.102,126,22,4,2,3,1,2
21,Butyl acrylate,Acrylic acid n-butyl ester,141-32-2,9,21,solvent rx,15.6,6.2,4.9,143.8,1,A1.104,,,,,,,
22,tert-Butyl alcohol,Trimethyl methanol,75-65-0,5,15,solvent,15.2,5.1,14.7,95.8,1,A1.611,82,11,4,3,3,1,2
23,n-Butyl lactate,Butyl 2-hydroxypropanoate,138-22-7,10,24,solvent,15.8,6.5,10.2,149,1,A1.107,,,,,,,
24,Butyric acid,Ethylacetic acid,107-92-6,6,14,solvent,14.9,4.1,10.6,110,1,A1.114,,,,,,,
25,Butyrolactone,4-Deoxytetronic acid,96-48-0,6,12,solvent rx,19,6.6,7.4,76.8,1,A1.115,,,,,,,
26,Butanenitrile,1-Cyanopropane,109-74-0,5,12,solvent rx,15.3,12.4,5.1,87.3,1,A1.116,,,,,,,
27,3-Chloro-1-propanol,Trimethylene chlorohydrin,627-30-5,5,12,solvent,17.5,5.7,14.7,84.2,1,A1.137,,,,,,,
28,Chlorobenzene,Monochlorobenzene,108-90-7,7,12,solvent,19,4.3,2,102.1,1,A1.148,132,29,3,2,7,2,2
29,Butyl chloride,1-Chlorobutane,109-69-3,5,14,solvent,16.2,5.5,2,104.5,1,A1.152,,,,,,,
30,Chloroform,Methane trichloride,67-66-3,4,5,solvent,17.8,3.1,5.7,80.7,1,A1.156,61,301,2,7,5,4,"2,99"
31,m-Cresol,3-Hydroxytoluene,108-39-4,8,16,solvent,18,5.1,12.9,104.7,1,A1.169,,,,,,,
32,Cyclohexane,Hexanaphthene,110-82-7,6,18,solvent,16.8,0,0.2,108.7,1,A1.181,81,-17,6,4,7,2,2
33,Cyclohexanol,Hydrophenol,108-93-0,7,19,solvent,17.4,4.1,13.5,106,1,A1.182,,,,,,,
34,Cyclohexanone,Pimelic ketone,108-94-1,7,17,solvent,17.8,6.3,5.1,104,1,A1.183,156,43,3,2,5,2,2
35,Cyclohexylamine,Hexahydroaniline,108-91-8,7,20,solvent,17.2,3.1,6.5,113.8,1,A1.184,,,,,,,
36,Chlorocyclohexane,Cyclohexyl chloride,542-18-7,7,18,solvent,17.3,5.5,2,118.6,1,A1.185,,,,,,,
37,Diisobutyl ketone,Isovalerone,108-83-8,10,36,solvent,16,3.7,4.1,177.1,1,A1.203,,,,,,,
38,Diacetone alcohol,4-Hydroxy-4-methyl-2-pentanone,123-42-2,8,20,solvent rx,15.8,8.2,10.8,124.2,1,A1.209,,,,,,,
39,"1,2-Benzenedicarboxylic acid, dibutyl ester",Dibutyl phthalate,84-74-2,20,42,plasticizer,17.8,8.6,4.1,266,1,A1.221,,,,,,,
